Chrom	Gene Name	Strand	Positions
chr8	MYOM2	+	[2145455]
chr8	PMP2	-	[81440326, 81442413]
chr8	BAG4	+	[38177360, 38205163, 38210388, 38211019, 38212903, 38213206]
chr8	SMIM19	+	[42552979]
chr8	SMIM18	+	[30640011, 30643213, 30643384]
chr8	E2F5	+	[85214487]
chr8	ZNF34	-	[144773114]
chr8	VDAC3	+	[42405896]
chr8	CHMP7	+	[23261999]
chr8	DENND3	+	[141143007, 141185457, 141195801]
chr8	SLC52A2	+	[144361268]
chr8	SDR16C5	-	[56301219]
chr8	ZHX2	+	[122974503]
chr8	ZHX1	-	[123248456, 123252429]
chr8	CCAT1	-	[127207384]
chr8	R3HCC1	+	[23289929, 23290691, 23292178, 23295629, 23296199]
chr8	FAM160B2	+	[22104378]
chr8	PENK	-	[56440954]
chr8	LY6E	+	[143022196, 143022408]
chr8	LY6D	-	[142784882]
chr8	BNIP3L	+	[26413126]
chr8	FBXO43	-	[100133360, 100133556, 100135927, 100137021, 100139274, 100140775, 100141731]
chr8	GOLGA7	+	[41509882, 41510155, 41510973]
chr8	FER1L6-AS2	-	[124120060]
chr8	FER1L6-AS1	-	[124036010]
chr8	LY6H	-	[143157914]
chr8	PPP1R16A	+	[144502120]
chr8	PNOC	+	[28343350]
chr8	ZNF696	+	[143298060]
chr8	DEFT1P2	-	[6996766]
chr8	SFRP1	-	[41261958, 41263254, 41263657, 41264334]
chr8	SGK3	+	[66862021]
chr8	TSTA3	-	[143612618]
chr8	LOC102723729	-	[41544689, 41545025]
chr8	DEFB109A	+	[7447753, 7450564, 7482504, 7527697, 7542445, 7778591, 7829052, 7925025, 7933434, 7949192, 8040784, 8175319, 8188535, 8238925, 8244864, 8317736, 8317902, 8369270, 8373532, 8640939, 8643310, 8704096, 8723928, 8743752, 8783431, 8785458, 8785803, 8791186, 8866417, 8886247, 8888305, 8957681, 8993825, 9030620, 9030802, 9031049, 9033268, 9100169, 9136255, 9199002, 9530052, 9558825, 9623927, 9630434, 9636224, 9639781, 9710409, 9772971, 9776881, 9778414, 9778659, 9778810, 9780026, 9780708, 9782268, 9900065, 9903168, 9903462, 10053224, 10076974, 10250916, 10286353, 10337822, 10386804, 10428232, 10428364, 10428665, 10428819, 10545197, 10554165, 10582323, 10606349, 10622541, 10622741, 10623005, 10633030, 10658060, 10692971, 10700592, 10723768, 10724792, 10764963, 10765159, 10963207, 10969313, 10976310, 11022678, 11036442, 11036601, 11104691, 11105251, 11105684, 11105962, 11107788, 11158020, 11159677, 11178141, 11181072, 11181916, 11185185, 11185548, 11194436, 11223453, 11300506, 11302169, 11315859, 11316166, 11320659, 11323554, 11323911, 11324407, 11326008, 11326893, 11327437, 11327651, 11328039, 11345748, 11410089, 11421463, 11438657, 11552488, 11558659, 11564598, 11568107, 11570002, 11570165, 11570297, 11571075, 11581340, 11603675, 11617404, 11644770, 11696087, 11696393, 11696721, 11700201, 11700518, 11701929, 11702045, 11759997, 11787224, 11787342, 11803540, 11803776, 11810855, 11825634, 11832466, 11838578, 11838735, 11838887, 11839221, 11839577, 11842524, 11842688, 11842825, 11843003, 11844053, 11844318, 11844503, 11846154, 11848118, 11854550, 11866377, 12005637, 12039687, 12055321, 12112764, 12182104, 12183316, 12183516, 12282018]
chr8	BHLHE22	+	[64583627]
chr8	DEFB109B	-	[7447753, 7450564, 7482504, 7527697, 7542445, 7778591, 7829052, 7925025, 7933434, 7949192]
chr8	IL7	-	[78732772]
chr8	AGPAT5	+	[6759665]
chr8	ADRB3	-	[37962998]
chr8	GPAA1	+	[144086215]
chr8	PSCA	+	[142682723]
chr8	ASAP1	-	[130052104, 130052754]
chr8	IDO2	+	[40016048]
chr8	IDO1	+	[39915720, 39928430]
chr8	SNTB1	-	[120535745, 120536784, 120537876]
chr8	LOC102724708	+	[67345086, 67422170]
chr8	PINX1	-	[10764963, 10765159]
chr8	LINC00977	-	[129216467]
chr8	RUNX1T1	-	[91954975, 91956501, 92004422]
chr8	LRRC69	+	[91139194]
chr8	GINS4	+	[41544689, 41545025]
chr8	RB1CC1	-	[52622458, 52622887]
chr8	MICU3	+	[17077845, 17080145, 17081966, 17082236, 17082556, 17083756, 17085287, 17086815, 17088106, 17088257, 17089094, 17098850, 17122408, 17122637]
chr8	KLF10	-	[102648784]
chr8	RNF170	-	[42849637, 42852761, 42853301, 42853478, 42855310, 42855431, 42855762, 42861428, 42863050, 42872038, 42874243, 42874827, 42876170, 42877145, 42877603, 42879722, 42885504, 42890376]
chr8	PXDNL	-	[51319579]
chr8	NEFL	-	[24950955, 24952379]
chr8	GDF6	-	[96142334]
chr8	FAM86B3P	+	[8238925, 8244864]
chr8	ZFP41	+	[143253586, 143262699]
chr8	NRG1	+	[32442724, 32743224, 32760988, 32764510, 32767882]
chr8	EYA1	-	[71197433, 71403440]
chr8	PI15	+	[74855028]
chr8	LOC100130964	+	[39580133]
chr8	SCARA3	+	[27673016, 27676768]
chr8	CLDN23	+	[8704096]
chr8	OSR2	+	[98952103]
chr8	MCM4	+	[47977922, 47978156]
chr8	RHOBTB2	+	[22993162, 23006383, 23009097, 23018360, 23020158]
chr8	SARAF	-	[30063093]
chr8	LOC100287846	+	[47191714, 47192813, 47193227]
chr8	C8orf33	+	[145054424, 145054624]
chr8	OPRK1	-	[53225724]
chr8	NOV	+	[119424352]
chr8	KCNK9	-	[139600838, 139617121]
chr8	RHPN1	+	[143384219]
chr8	DEFB104A	-	[7482504, 7527697, 7542445, 7778591, 7829052]
chr8	KIFC2	+	[144473732, 144474115]
chr8	LOC101929341	+	[52199551]
chr8	ARC	-	[142611044]
chr8	PURG	-	[30995802, 31030841]
chr8	FSBP	-	[94427712, 94431946]
chr8	TM2D2	-	[38988808]
chr8	GSR	-	[30678066, 30678266, 30678429, 30679449, 30679606, 30689004, 30689163]
chr8	MTBP	+	[120523634]
chr8	WASHC5	-	[125024266]
chr8	MFHAS1	-	[8785458, 8785803, 8791186, 8866417, 8886247, 8888305]
chr8	PUF60	-	[143816344, 143816447, 143818264]
chr8	ZFAND1	-	[81701334, 81701722]
chr8	MAFA	-	[143428060, 143428374, 143428484]
chr8	ZHX1-C8orf76	-	[123226189, 123248456, 123252429]
chr8	MROH1	+	[144213464, 144261926]
chr8	PHYHIP	-	[22219704]
chr8	MSR1	-	[16109436, 16109922, 16120889]
chr8	SLC39A14	+	[22420898, 22422672]
chr8	SFTPC	+	[22164469]
chr8	UG0898H09	+	[62984899]
chr8	PDE7A	-	[65714334, 65717670, 65721798, 65771251]
chr8	LINC01300	+	[141344620]
chr8	PTP4A3	+	[141431519, 141432453]
chr8	LYN	+	[56011380]
chr8	NECAB1	+	[90802615, 90802750, 90806474, 90828202, 90923778, 90937740, 90938381, 90938678, 90938880, 90939370, 90940055, 90945638, 90945780, 90946002, 90946136, 90947720, 90956380, 90956490, 90956791, 90957084, 90957627, 90958170, 90958295, 90958428, 90958574, 90958753, 90958889, 90959300]
chr8	ENTPD4	-	[23429153, 23429620, 23429990, 23432413, 23432902, 23451110]
chr8	FNTA	+	[43056862, 43057713, 43057874, 43070262, 43082025, 43085494, 43085702]
chr8	SPAG11B	-	[7447753, 7450564, 7482504, 7527697, 7542445, 7778591, 7829052]
chr8	ENPP2	-	[119557086]
chr8	SPAG1	+	[100194683, 100241847]
chr8	LINC02055	+	[136798233, 136897600]
chr8	AP3M2	+	[42154997, 42158781, 42162879, 42164372, 42165778, 42166678, 42169004, 42169335, 42171107]
chr8	PRKDC	-	[47773109]
chr8	UBR5	-	[102252273, 102253242, 102253405, 102253885, 102257820, 102267980, 102305198, 102311309, 102326993, 102358858, 102368530, 102381853, 102385649]
chr8	OTUD6B	+	[91087094]
chr8	ADAM7	+	[24467646, 24490312]
chr8	FUT10	-	[33370831]
chr8	ADAM2	-	[39743735]
chr8	BMP1	+	[22201481, 22212323]
chr8	JRK	-	[142657460, 142657562, 142657745, 142658361, 142658508, 142663415]
chr8	EEF1D	-	[143579728, 143580669, 143583303]
chr8	PPP2CB	-	[30785610]
chr8	ADAM9	+	[39016018, 39105000]
chr8	LINC00535	-	[93346467]
chr8	LOC101928160	+	[143709007]
chr8	GFRA2	-	[21692018]
chr8	DEFB105A	+	[7527697, 7542445, 7778591]
chr8	KBTBD11-OT1	+	[1975313]
chr8	ELP3	+	[28190096]
chr8	POLB	+	[42371807]
chr8	STMN4	-	[27235323, 27236303]
chr8	STMN2	+	[79665017, 79666155]
chr8	HR	-	[22114421, 22115063]
chr8	PCM1	+	[17924346, 17924735, 17935589, 17953039, 17954356, 17955618, 17955804, 17956626, 17963155, 17964651, 17979072, 17986351, 17989341, 17997803, 17997985, 18011348, 18011668, 18025417, 18025613, 18027644, 18027757, 18027974, 18029076, 18029828]
chr8	SLC7A2	+	[17511299, 17570517]
chr8	TRIM35	-	[27285412, 27285706]
chr8	PKIA	+	[78603249, 78603938, 78605266]
chr8	TRIM55	+	[66174827]
chr8	PCMTD1	-	[51817580, 51818510, 51820163, 51826929, 51848945, 51849525]
chr8	FAM87A	-	[375931, 379221]
chr8	SLC25A32	-	[103398637]
chr8	MSRA	+	[10076974, 10250916, 10286353, 10337822, 10386804, 10428232, 10428364, 10428665, 10428819]
chr8	ST18	-	[52199551, 52403701, 52407636]
chr8	ADAMDEC1	+	[24406012]
chr8	PREX2	+	[68237029]
chr8	CHD7	+	[60808735, 60825414, 60866905]
chr8	CPA6	-	[67422170]
chr8	ZNF252P-AS1	+	[145006043]
chr8	LOC729732	-	[12594970, 12626392]
chr8	UBXN8	+	[30766472]
chr8	SCX	+	[144268480]
chr8	MIR124-1	-	[9903462]
chr8	LZTS1	-	[20246165]
chr8	ODF1	+	[102561014]
chr8	MRPL13	-	[120395844]
chr8	SH2D4A	+	[19375128, 19394942, 19395242, 19396214]
chr8	MRPL15	+	[54147893]
chr8	PVT1	+	[127947976]
chr8	LOC100506990	+	[12477121]
chr8	CTHRC1	+	[103382987]
chr8	PLEC	-	[143915147]
chr8	RAD21	-	[116845934, 116846412, 116849052, 116849249]
chr8	SLC26A7	+	[91340657, 91394391, 91394717, 91395755, 91398149]
chr8	MTFR1	+	[65709200, 65709821, 65710550]
chr8	CYHR1	-	[144449587, 144449931, 144451120, 144463817]
chr8	PBK	-	[27809621, 27809894]
chr8	TMEM67	+	[93816703, 93816929, 93817666, 93818056]
chr8	DEFB105B	+	[7527697, 7542445, 7778591]
chr8	DEPTOR	+	[120050520, 120050912]
chr8	LINC00967	+	[66197314]
chr8	HNF4G	+	[75566833]
chr8	RBPMS	+	[30547514, 30553765, 30570995, 30572255]
chr8	MIR7641-2	+	[28574267, 28753686, 28909305, 28914840, 28922369, 28952120, 29051243, 29051765, 29052697, 29053258, 29067278, 29145858, 29333064, 29752296, 29798486, 30063093, 30108063, 30183534, 30183636, 30382119, 30547514, 30553765, 30570995, 30572255, 30578318, 30578516, 30578618, 30601781, 30613202, 30624415, 30640011, 30643213, 30643384, 30645955, 30646668, 30652698, 30653577, 30654458, 30678066, 30678266, 30678429, 30679449, 30679606, 30689004, 30689163, 30766472, 30785610, 30831544, 30833258, 30848727, 30995802, 31030841, 31033331, 31033875, 31058375, 31071005, 31081062, 31087796, 31124377, 31127709, 31173336, 31173658, 31173762, 31175833, 32442724, 32743224, 32760988, 32764510, 32767882, 33370831, 33498954, 33501257, 33547755, 33591332, 35256604, 35381257, 35382086, 35382581, 35523739, 35525064, 35794662, 35796549, 36936122, 37516411, 37698871, 37700014, 37734766, 37745893, 37746003, 37746549, 37754194, 37754623, 37754821, 37756784, 37757387, 37757666, 37757784, 37778916, 37779763, 37843736, 37843962, 37858947, 37860361, 37861558, 37934330, 37934979, 37962998, 38060357, 38108433, 38118226, 38119949, 38120198, 38120717, 38122408, 38124564, 38125255, 38127101, 38127382, 38127490, 38132673, 38132936, 38135549, 38135869, 38138340, 38139559, 38139702, 38139965, 38143649, 38163339, 38163569, 38172377, 38174034, 38174382, 38174501, 38177360, 38205163, 38210388, 38211019, 38212903, 38213206, 38260253, 38262763, 38263320, 38264237, 38264739, 38264902, 38266980, 38267175, 38267721, 38268784, 38269030, 38269218, 38275164, 38275426, 38275630, 38276499, 38278349, 38280934, 38291340, 38298194, 38303312, 38303819, 38316417, 38316798, 38317557, 38317660, 38319755, 38319860, 38337550, 38347663, 38394433, 38408048, 38408543, 38411138, 38412726, 38822182, 38831161, 38831347, 38836211, 38839448, 38839992, 38846389, 38846783, 38848057, 38848326, 38850712, 38852867, 38853027, 38923041, 38944429, 38962242, 38962352, 38962847, 38973474, 38973626, 38973831, 38988661, 38988808, 39016018, 39105000, 39284908, 39451045, 39488887, 39580133, 39610860, 39611237, 39611574, 39730062, 39743735, 39915720, 39928430, 40016048, 40155307, 40530590, 41261958, 41263254, 41263657, 41264334, 41509882, 41510155, 41510973, 41544689, 41545025, 41621294, 41621911, 41622867, 41625000, 41653225, 41653384, 41654693, 41655292, 41665560, 41687378, 41689024, 41689607, 41787118, 41787627, 41788367, 41791721, 41818259, 41828165, 41831555, 41856983, 41885422, 41887148, 41889235, 41929479, 41929604, 41929923, 41930111, 41930848, 41931885, 41934265, 41942049, 41960748, 42012540, 42013359, 42020398, 42020721, 42021903, 42024036, 42024198, 42026851, 42027744, 42028624, 42031709, 42032820, 42032971, 42048160, 42154997, 42158781, 42162879, 42164372, 42165778, 42166678, 42169004, 42169335, 42171107, 42175233, 42255328, 42272428, 42274074, 42289565, 42289686, 42301264, 42309682, 42311501, 42317046, 42331538, 42331789, 42331908, 42332229, 42332332, 42332449, 42332568, 42371807, 42374068, 42405896, 42416475, 42537529, 42552979, 42836674, 42849637, 42852761, 42853301, 42853478, 42855310, 42855431, 42855762, 42861428, 42863050, 42872038, 42874243, 42874827, 42876170, 42877145, 42877603, 42879722, 42885504, 42890376, 42905674, 42906227, 42913020, 42925402, 42937144, 42940638, 42940847, 42949835, 42951893, 42956505, 42965399, 42985838, 42986190, 42986795, 42987812, 42997600, 43000812, 43002132, 43002587, 43007857, 43016895, 43019096, 43019682, 43021054, 43022003, 43022458, 43023149, 43023434, 43024594, 43030377, 43030538, 43056862, 43057713, 43057874, 43070262, 43082025, 43085494, 43085702, 43122940, 43200546, 43201781, 47191714, 47192813, 47193227, 47528147, 47735910, 47736913, 47773109, 47977922, 47978156, 48061570, 48061883, 48723408, 48917768, 49496763, 50709183, 50794117, 51319579, 51817580, 51818510, 51820163, 51826929, 51848945, 51849525, 52199551, 52403701, 52407636, 52534037, 52534138, 52622458, 52622887, 53225724, 53515173, 53959302, 53966554, 53967186, 54046367, 54047412, 54147893, 54460887, 54630746, 55164450, 55738758, 55760773, 55825445, 56011380, 56072947, 56073054, 56164357, 56166085, 56217502, 56218618, 56301219, 56440954, 56957933, 56959739, 56960035, 56962230, 56962425, 56962706, 56962925, 56963132, 56963291, 56963585, 56981882, 56985685, 56985831, 56986310, 56986635, 56986988, 57284730, 58147698, 58148787, 58435105, 58451500, 58490178, 58582857, 58805418, 59121345, 60187347, 60404694, 60623090, 60623626, 60808735, 60825414, 60866905, 61426309, 61465507, 61496848, 61497320, 61500556, 61500659, 61501229, 61501644, 61504463, 61510699, 61511445, 61531140, 61533379, 61533561, 61534475, 61535537, 61606461, 61623710, 61624537, 61624669, 61624781, 61637974, 61639643, 61653645, 61656128, 61658841, 61660103, 61661673, 61665092, 61675259, 61680985, 61693615, 61693739, 62984899, 62999651, 63015079, 63167725, 63167886, 63210165, 63210747, 63211049, 63212453, 63212785, 63472643, 63475481, 64378533, 64378830, 64382077, 64382746, 64383285, 64583627, 65161145, 65602456, 65603291, 65603900, 65709200, 65709821, 65710550, 65714334, 65717670, 65721798, 65771251, 66100130, 66100525, 66174827, 66176382, 66197314, 66430721, 66468808, 66504181, 66509319, 66514785, 66514988, 66515122, 66515598, 66515811, 66518415, 66518523, 66562175, 66678294, 66681133, 66685559, 66862021, 66922047, 66946501, 66988132, 67043080, 67173511, 67195610, 67195781, 67196262, 67196613, 67197649, 67197855, 67198472, 67220965, 67257176, 67266087, 67342877, 67345086, 67422170, 68237029, 68303468, 68535826, 68818560, 69659407, 69660054, 69660585, 69672332, 70109762, 70573442, 70573607, 70574763, 70574889, 70579343, 70579489, 70582381, 70583180, 70595126, 70595267, 70596287, 70602424, 70637256, 70663278, 70735941, 71197433, 71403440, 71841549, 72002404, 72056311, 72938348, 73042910, 73046433, 73046974, 73047499, 73047748, 73065897, 73066531, 73067018, 73290641, 73315416, 73323190, 73324557, 73325280, 73549786, 73550547, 73652264, 73653659, 73786220, 73786905, 73788128, 73790612, 73792344, 73792952, 73793390, 73793620, 73945612, 73945877, 73946099, 73946281, 73946395, 73946537, 73946638, 73955984, 73958515, 73959335, 73959650, 73959765, 73959892, 73965921, 73966712, 73971164, 73981798, 73982513, 73982782, 74234700, 74365833, 74366684, 74366857, 74758351, 74855028, 75034557, 75223127, 75223418, 75566833, 76610882, 76865921, 76867279, 76980258, 76981494, 76982061, 76982919, 78603249, 78603938, 78605266, 78717699, 78732772, 79665017, 79666155, 79764010, 79765093, 79802841, 79918966, 79956465, 79957984, 80035510, 80036199, 80036546, 80521503, 80521777, 80524053, 80526264, 80628451, 80644493, 80644762, 80676368, 80676662, 80677378, 80679524, 80679829, 80831003, 80831148, 80831354, 80847699, 80857021, 80967810, 80971240, 80972112, 80974303, 80974544, 80976792, 80978252, 81044342, 81104513, 81284776, 81440326, 81442413, 81478699, 81524981, 81657961, 81701334, 81701722, 81758850, 81799582, 85146075, 85214487, 85217160, 85246295, 85284067, 85328230, 85441889, 85449039, 85456485, 85456623, 85480948, 86374044, 86378251, 86387511, 86393115, 86393433, 86393643, 86439267, 86467332, 86467482, 86467652, 86467878, 86472349, 86474246, 86559580, 86561412, 86573935, 87870743, 88037411, 88037723, 88039246, 89717399, 89720904, 89790437, 89791062, 89921318, 89925587, 89926844, 89927347, 89933484, 90052007, 90058608, 90059379, 90059936, 90621995, 90623544, 90625268, 90802615, 90802750, 90806474, 90828202, 90923778, 90937740, 90938381, 90938678, 90938880, 90939370, 90940055, 90945638, 90945780, 90946002, 90946136, 90947720, 90956380, 90956490, 90956791, 90957084, 90957627, 90958170, 90958295, 90958428, 90958574, 90958753, 90958889, 90959300, 90994271, 90994990, 90995444, 91059909, 91060620, 91063512, 91064146, 91067911, 91068479, 91069589, 91069964, 91087094, 91139194, 91340657, 91394391, 91394717, 91395755, 91398149, 91954975, 91956501, 92004422]
chr8	TMEM68	-	[55738758, 55760773]
chr8	FLJ46284	-	[92776450]
chr8	DCAF4L2	-	[87870743]
chr8	RNF122	-	[33547755]
chr8	AGO2	-	[140520156, 140522995, 140526544, 140531165, 140572142, 140593200]
chr8	MCPH1	+	[6445296, 6445607, 6446210, 6446566, 6447401, 6492868, 6499651, 6500065, 6502296, 6502632, 6549794, 6566992, 6605339, 6614957, 6615458, 6617104, 6617844, 6618834, 6626523, 6643169, 6643524, 6644292, 6645809, 6646864, 6648504]
chr8	LACTB2-AS1	+	[70637256]
chr8	TNFRSF11B	-	[118923557, 118924092]
chr8	DEFB1	-	[6870592]
chr8	SDCBP	+	[58582857]
chr8	LRRCC1	+	[85146075]
chr8	LINC00051	+	[142203732, 142205722, 142209002]
chr8	LINC00588	+	[57284730]
chr8	DEFB106A	-	[7482504, 7527697, 7542445, 7778591, 7829052]
chr8	DEFB106B	-	[7482504, 7527697, 7542445, 7778591, 7829052]
chr8	FZD3	+	[28574267]
chr8	RPL8	-	[144789765]
chr8	FZD6	+	[103317383, 103320155, 103322282, 103325260, 103332697, 103332816]
chr8	LOC105369147	-	[103268268]
chr8	SGCZ	-	[14165358]
chr8	RPL7	-	[73290641]
chr8	DEFB130A	-	[12112764, 12182104, 12183316, 12183516, 12282018]
chr8	DUSP4	-	[29333064]
chr8	LINC01181	+	[103132963]
chr8	DEFB130B	-	[12112764, 12182104, 12183316, 12183516, 12282018]
chr8	DLC1	-	[13083363, 13083920, 13099704, 13304602, 13498859, 13568286]
chr8	C8orf44-SGK3	+	[66678294, 66681133, 66685559, 66862021]
chr8	TERF1	+	[73042910, 73046433, 73046974, 73047499, 73047748]
chr8	FAM49B	-	[129839593, 129841470]
chr8	TOP1MT	-	[143309356, 143343199, 143344737]
chr8	PRAG1	-	[8317736, 8317902, 8369270, 8373532]
chr8	TGS1	+	[55825445]
chr8	ARFGEF1	-	[67197649, 67197855, 67198472, 67220965, 67257176, 67266087, 67342877]
chr8	ADAM28	+	[24351535, 24355091, 24355201, 24359017]
chr8	LOC100130027	-	[144808938]
chr8	KCNB2	+	[72938348]
chr8	POMK	+	[43122940]
chr8	XKR4	+	[55164450]
chr8	STAU2	-	[73549786, 73550547, 73652264, 73653659]
chr8	TRPS1	-	[115408498, 115411780, 115412346, 115413906, 115511324]
chr8	OSGIN2	+	[89921318, 89925587, 89926844, 89927347]
chr8	TACC1	+	[38822182, 38831161, 38831347, 38836211, 38839448, 38839992, 38846389, 38846783, 38848057, 38848326, 38850712, 38852867, 38853027]
chr8	NUGGC	-	[28021964]
chr8	RIMS2	+	[103661096, 103661288, 103768550, 103822136, 103838591, 103838744, 103838985, 103840044, 103840314, 103840552, 103855859, 103860035, 103977470, 104033595, 104049085, 104081431, 104081704, 104085210, 104238372, 104251647, 104251797, 104252453, 104254345]
chr8	NKX3-1	-	[23678693]
chr8	GNRH1	-	[25419260]
chr8	DECR1	+	[90052007]
chr8	ADCK5	+	[144393237]
chr8	MAK16	+	[33498954, 33501257]
chr8	MAF1	+	[144107610]
chr8	ZNF251	-	[144720914, 144721019, 144723030, 144727237, 144734463, 144736727, 144738429, 144748644, 144750074, 144750934, 144753454]
chr8	ZNF250	-	[144876951, 144877141, 144880794, 144880927, 144881149, 144884784, 144886692, 144898619, 144899940]
chr8	KCTD9	-	[25427847]
chr8	CCDC25	-	[27733316, 27735052]
chr8	CCDC26	-	[129626905]
chr8	DCAF13	+	[103428709, 103443450]
chr8	RIPK2	+	[89790437, 89791062]
chr8	ADAM18	+	[39610860, 39611237, 39611574, 39730062]
chr8	TRPA1	-	[72056311]
chr8	FAM83A	+	[123210073]
chr8	MSC	-	[71841549]
chr8	DEFA1B	-	[6996766]
chr8	PNMA2	-	[26504686, 26505635]
chr8	RPS20	-	[56072947, 56073054]
chr8	CPNE3	+	[86559580, 86561412]
chr8	ESCO2	+	[27804360, 27804898]
chr8	TATDN1	-	[124488508, 124488639, 124493902, 124499060, 124504148, 124510213, 124512982, 124515430, 124515747, 124518854, 124522937, 124524872, 124525264]
chr8	DOK2	-	[21908873]
chr8	RIDA	-	[98102344]
chr8	GLI4	+	[143276930]
chr8	TG	+	[133036724, 133072908]
chr8	MAL2-AS1	-	[119243792, 119245672]
chr8	LOC286083	-	[1296034]
chr8	VPS13B	+	[99014635, 99054052, 99054875, 99055151, 99055706, 99057199, 99057575, 99057736, 99057972, 99105737, 99114639, 99121761, 99123693, 99127043, 99129494, 99137454, 99145200, 99148741, 99170372, 99170516, 99171092, 99171880, 99209786, 99403504, 99466912, 99483658, 99560300, 99577784, 99649374, 99675005, 99748884, 99772453, 99773397, 99877579]
chr8	LRP12	-	[104489248]
chr8	RBPMS-AS1	-	[30382119]
chr8	DPY19L4	+	[94727653, 94734188, 94737702, 94740458, 94741381, 94744927, 94745083, 94748459, 94772846, 94790112, 94791421, 94791764, 94793474, 94793587, 94793835]
chr8	RMDN1	-	[86472349, 86474246]
chr8	HOOK3	+	[42905674, 42906227, 42913020, 42925402, 42937144, 42940638, 42940847, 42949835, 42951893, 42956505, 42965399, 42985838, 42986190, 42986795, 42987812, 42997600, 43000812, 43002132, 43002587, 43007857, 43016895, 43019096, 43019682, 43021054, 43022003, 43022458, 43023149, 43023434, 43024594, 43030377, 43030538]
chr8	PLAT	-	[42175233]
chr8	C8orf88	-	[90958574, 90958753, 90958889, 90959300]
chr8	C8orf87	-	[93134095, 93134242]
chr8	KAT6A	-	[41929479, 41929604, 41929923, 41930111, 41930848, 41931885, 41934265, 41942049, 41960748, 42012540, 42013359, 42020398, 42020721, 42021903, 42024036, 42024198, 42026851, 42027744, 42028624, 42031709, 42032820, 42032971, 42048160]
chr8	NPM2	+	[22036895]
chr8	PLAG1	-	[56164357, 56166085]
chr8	LOC100288181	-	[142702252, 142703142, 142703310, 142703459, 142725230]
chr8	COL14A1	+	[120232089, 120266991, 120370914, 120372035]
chr8	RPL30	-	[98041721]
chr8	C8orf76	-	[123219957, 123220077, 123226189]
chr8	C8orf74	+	[10692971, 10700592]
chr8	MINCR	-	[143280161, 143280828, 143281026]
chr8	AARD	+	[116943994]
chr8	LOC101929294	-	[24351535, 24355091, 24355201, 24359017, 24406012, 24467646, 24490312, 24509564, 24511622, 24526969]
chr8	SHARPIN	-	[144098633, 144101291, 144101495, 144101648, 144102357, 144103607]
chr9	TRAF2	+	[136893142, 136895496, 136896726, 136896914, 136897426, 136897876, 136898070, 136898261, 136900091, 136905373, 136906897, 136907027, 136910427, 136912043, 136926537]
chr9	ZDHHC12	-	[128720869]
chr9	NELFB	+	[137273545]
chr9	RIC1	+	[5710804, 5769453, 5775244, 5775862, 5776060, 5776343, 5776466]
chr9	FRRS1L	-	[109130293, 109132798, 109137655]
chr9	NUTM2F	-	[94318196]
chr9	COL5A1-AS1	-	[134649385, 134651432]
chr9	LURAP1L-AS1	-	[12700100, 12710289, 12777577]
chr9	SEMA4D	-	[89361599, 89377235, 89377391]
chr9	GAPVD1	+	[125309299, 125363328, 125365003]
chr9	LHX2	+	[124031624]
chr9	ANKRD20A4-ANKRD20A20P	+	[64412117, 64413141]
chr9	HSPA5	-	[125234853, 125236236]
chr9	LHX6	-	[122202577, 122204432]
chr9	MAMDC2-AS1	-	[70153134, 70169642]
chr9	LINC01613	+	[119937831]
chr9	LOC51145	-	[125743754]
chr9	GRIN1	+	[137168758]
chr9	NPR2	+	[35808045]
chr9	DNM1	+	[128255236]
chr9	IFNK	+	[27526497]
chr9	ANKRD18CP	-	[97180109, 97195457, 97197365, 97199533, 97222988, 97233701]
chr9	LCN12	+	[136955496]
chr9	PTGR1	-	[111562577, 111562967]
chr9	PAPPA	+	[116153821, 116153936, 116156500, 116169612, 116171227, 116171896, 116359871, 116398157, 116398302, 116399400, 116400016, 116400475, 116401669, 116401773, 116402020, 116402248]
chr9	MIR4477B	-	[41379412, 41393285, 41401463, 41649366, 41694357, 41740411, 41892870, 41893158, 41938060, 41948584, 41952159, 41952447, 41993023, 42021525, 42021835, 42246000, 42731509, 43856211, 44239615, 44408225, 44793894, 44872657, 44989044, 44991373, 44999461, 45079465, 45462456, 45725839, 45728174, 45734901, 45814204, 46118634, 46200510, 46209696, 46306088, 46385676, 46685215, 46685515, 46686692, 47169286, 60918581, 60920649, 61101883, 61194211, 61196279, 61448482, 61553418, 61586050, 61664802, 61863318, 62374216, 62375329, 62387171, 62522017, 62533677, 62800924, 62804047, 62813485, 62818197, 62822533, 62834431, 62837139, 62867989, 62868139, 62898723, 62898903, 62899769, 63111255, 63819102]
chr9	FAM205C	-	[34889064]
chr9	PCSK5	+	[76195888, 76362338]
chr9	AK1	-	[127866480, 127867839]
chr9	ANKRD18A	-	[38573983, 38578062, 38593869, 38594689, 38595206, 38595460, 38595583, 38596327, 38603195]
chr9	COL15A1	+	[99070791]
chr9	MIR1268A	+	[128356085, 128357009, 128359044, 128359538, 128359744, 128361151, 128361469, 128390733, 128392007, 128432005, 128437350, 128494835, 128500959, 128501291, 128539876, 128542287, 128553336, 128633661]
chr9	ORM1	+	[114326473]
chr9	AKAP2	+	[110068480, 110077928, 110078937, 110080001, 110087223, 110087546, 110087980, 110092106, 110092364, 110092631, 110093102, 110093354, 110093914, 110094310, 110099646, 110169398, 110169605, 110169891, 110170035, 110170160, 110172390]
chr9	TUBB4B	+	[137243585, 137243706]
